seed,eps,template,x0_radius,s_A,N,id_feasible,sX,id_time,coverage,coverage_train,encl,mu_sum,lp_feasible,lambda_min
5000,0.1,random,0.5,1,30,True,0.015918257763872495,0.0849860529997386,0.45,0.9666666666666667,0.08925480584338277,0.32380167393348774,True,0.12109375
5029,0.1,random,0.5,1,30,True,0.02142774850543274,0.06307686899890541,0.275,0.9666666666666667,0.08457600084216794,0.41680094806959606,True,0.12109375
5058,0.1,random,0.5,1,30,True,0.015113269013641411,0.06294423899817048,0.375,1.0,0.12558378704307022,0.8929606668670633,True,0.28125
5087,0.1,random,0.5,1,30,True,0.012468943290129837,0.12140000199724454,0.35,0.9666666666666667,0.08859981599598449,0.462878304305169,True,0.15625
5116,0.1,random,0.5,1,30,False,,0.12252828199780197,,,,,,
5145,0.1,random,0.5,1,30,True,0.01697294131780524,0.06424064399834606,0.3,0.9333333333333333,0.12137673836999192,0.5577979511809263,True,0.265625
5174,0.1,random,0.5,1,30,True,0.018282064411678147,0.06668552500195801,0.375,0.9,0.11370677334066988,0.7081805037587051,True,0.23828125
5203,0.1,random,0.5,1,30,True,0.018267065019873137,0.06624101899797097,0.45,0.9666666666666667,0.09821583873428316,0.42875551559524366,True,0.1328125
5000,0.1,random,0.5,3,30,True,0.004187445516447331,0.11148610599775566,0.525,1.0,0.13936647854896062,0.8813290896268328,True,0.2265625
5029,0.1,random,0.5,3,30,True,0.011922644191436873,0.07158603700008825,0.4,1.0,0.1569887840221713,1.1412323280983778,True,0.234375
5058,0.1,random,0.5,3,30,True,0.0030542187433182477,0.07029490700006136,0.475,1.0,0.14345788505585283,1.4919189891318148,True,0.2890625
5087,0.1,random,0.5,3,30,True,0.003070043988800433,0.07026598199809087,0.4,1.0,0.16429906263609628,1.7105599948102925,True,0.32421875
5116,0.1,random,0.5,3,30,True,0.004550197054860606,0.0721832679992076,0.325,1.0,0.119514977587828,0.7648918266013911,True,0.20703125
5145,0.1,random,0.5,3,30,True,0.005447981174678143,0.11083876699922257,0.45,1.0,0.1630685152667565,1.1837908421274301,True,0.3046875
5174,0.1,random,0.5,3,30,True,0.0005487697925443723,0.06801837499733665,0.35,1.0,0.15316186040105859,1.2641034338546306,True,0.359375
5203,0.1,random,0.5,3,30,True,0.007844722980440175,0.07091499499802012,0.625,1.0,0.12678006297634922,0.7175355963169973,True,0.26953125
5000,0.1,random,0.5,6,30,True,0.00296694584340808,0.08211587699770462,0.675,1.0,0.12956738352432878,0.9039758782210184,True,0.17578125
5029,0.1,random,0.5,6,30,True,0.0019035370956040861,0.07679025999823352,0.7,1.0,0.11884513083849524,0.8054251275962346,True,0.19921875
5058,0.1,random,0.5,6,30,True,0.004152377715180861,0.12427779300196562,0.6,1.0,0.10934362329083074,1.2849066710216928,True,0.21484375
5087,0.1,random,0.5,6,30,True,0.003442936904474076,0.08045053300156724,0.425,1.0,0.10486133856857845,0.9966141339154477,True,0.21875
5116,0.1,random,0.5,6,30,True,0.0027050279258948305,0.07710324999789009,0.275,1.0,0.10461846850906749,0.9203354222276852,True,0.09375
5145,0.1,random,0.5,6,30,True,0.003264994336865043,0.07989822400122648,0.575,1.0,0.11947597684975571,0.8635720712336479,True,0.2109375
5174,0.1,random,0.5,6,30,True,0.0010192430751663553,0.07868441399841686,0.475,1.0,0.13969457052277484,1.3382106355546757,True,0.28125
5203,0.1,random,0.5,6,30,True,0.0030992106586318776,0.120224597001652,0.675,1.0,0.13266181434378388,1.0246179207675792,True,0.16015625
5000,0.1,random,0.5,9,30,True,0.003126940179937545,0.08863677000044845,0.625,1.0,0.1215275936325513,0.8362787491447098,True,0.1640625
5029,0.1,random,0.5,9,30,True,0.001974709407663163,0.09482217500044499,0.6,1.0,0.1089018947759185,0.8607387859991249,True,0.1640625
5058,0.1,random,0.5,9,30,True,0.002262924560121103,0.08913293400109978,0.625,1.0,0.09474465385974451,1.1543610248575202,True,0.1796875
5087,0.1,random,0.5,9,30,True,0.0013270104183573965,0.09330321299785282,0.475,1.0,0.11058081720870638,1.186045273616973,True,0.1875
5116,0.1,random,0.5,9,30,True,0.0025924892874156506,0.13010343000132707,0.4,1.0,0.0995097848195231,0.8660686509469978,True,0.09765625
5145,0.1,random,0.5,9,30,True,0.001666195878302688,0.09470886200142559,0.675,1.0,0.13853860310878968,1.2199644731651713,True,0.1328125
5174,0.1,random,0.5,9,30,True,0.0017396796546401128,0.09193247399889515,0.375,1.0,0.10057652308989393,0.8430089032439724,True,0.20703125
5203,0.1,random,0.5,9,30,True,0.005171024488658767,0.09115507599926786,0.8,1.0,0.12809188489759388,1.0215348065511414,True,0.1484375
