seed,eps,template,x0_radius,s_A,N,id_feasible,sX,id_time,coverage,coverage_train,encl,mu_sum,lp_feasible,lambda_min
4000,0.02,entry,0.5,9,30,True,0.004289305032913539,0.10906274900116841,0.475,1.0,0.07079607588624877,4.248539396439174,True,0.0625
4023,0.02,entry,0.5,9,30,True,0.010354033748769458,0.09541459300089628,0.425,1.0,0.06414916156305024,2.4393069428592944,True,0.0546875
4046,0.02,entry,0.5,9,30,True,0.01486567432605732,0.0936277250002604,0.4,1.0,0.04859006723297553,1.8770696870943127,True,0.04296875
4069,0.02,entry,0.5,9,30,True,0.018265600651081217,0.08195056499971543,0.275,1.0,0.05490743545287924,2.0658835751883378,True,0.0859375
4092,0.02,entry,0.5,9,30,True,0.009506665023781329,0.08332481999968877,0.425,1.0,0.05233203927358134,1.615550995844448,True,0.0390625
4115,0.02,entry,0.5,9,30,True,0.010790597069554483,0.08452196500002174,0.3,1.0,0.04922526761616765,1.7749836338106462,True,0.03515625
4138,0.02,entry,0.5,9,30,True,0.011525469009640067,0.10540270600176882,0.3,1.0,0.0491352814499295,1.2051513525707302,True,0.05078125
4161,0.02,entry,0.5,9,30,True,0.015720213736560042,0.09809362300075009,0.525,1.0,0.06100651877099071,1.9113466954522194,True,0.06640625
4000,0.02,row,0.5,3,30,True,0.016872713315575008,0.22739243699834333,0.325,1.0,0.07566718658408234,1.558926122913938,True,0.078125
4023,0.02,row,0.5,3,30,True,0.014927219900204418,0.11382233400217956,0.425,1.0,0.06584537622682309,2.1014938426157648,True,0.06640625
4046,0.02,row,0.5,3,30,True,0.014876030957982407,0.08896962799917674,0.4,1.0,0.06190120026338415,1.6646886132797318,True,0.08203125
4069,0.02,row,0.5,3,30,True,0.018118142258161923,0.08868094599893084,0.1,1.0,0.06082048092258059,1.674224799146102,True,0.1328125
4092,0.02,row,0.5,3,30,True,0.007012453558431239,0.09871931599991512,0.475,1.0,0.053553570245717094,1.9648954696890508,True,0.06640625
