method,src_state,src_input,src_additive
DCM [22],0.0,0.0,0.06497199998022672
ICM w/o side info.,0.0023311352776179475,0.0002844345373823642,0.062465554797321035
ICM (proposed),0.002927814921880295,0.00036541725043486164,0.0696010000166256
