Method,slope in $N$,slope in $n$,pts ($N$),pts ($n$),$t$ (s) at ref.,$\times$ LS
Least squares,-0.04652463267115057,0.426831227447723,6,5,0.00023486166658888882,1.0
Tube-based ZPC [24],0.18678059708516462,0.6177128620316554,6,5,0.015173774999614883,64.60728657851033
"Set-membership [13], [14]",0.16694509708342956,2.1385934388845587,5,3,0.29799494733379106,1268.8104945427865
DCM [22],0.9398837249502728,0.22022201939058333,6,5,0.12714970999998818,541.3812813589375
ICM (proposed),0.9160705286746286,1.4000752589152035,6,5,0.18363034833358446,781.865985201486
