Method,$N$,ID feas.,Cov. $1\times$,Cov. $3\times$,Encl. size,$\lambda^\star$,LP feas.,CL viol.
DCM [22],10,65.5,16.824999999999996,5.425000000000001,0.05346667473869721,0.026807013358778626,100.0,0.0
ICM w/o side info.,10,100.0,17.349999999999998,5.475000000000001,0.053339515012839636,0.028536498091603052,100.0,0.0
ICM (proposed),10,99.0,37.050000000000004,27.125,0.06473005684358374,0.03539479961832061,100.0,0.0
DCM [22],30,60.0,47.85,22.425,0.07647732522175621,0.028450520833333333,100.0,0.0
ICM w/o side info.,30,100.0,47.50000000000001,23.0,0.07682273421180305,0.033984375,100.0,0.0
ICM (proposed),30,93.0,60.8,42.75,0.0810584075342978,0.03570963541666667,100.0,0.0
