seed,eps,template,x0_radius,s_A,N,id_feasible,sX,id_time,coverage,coverage_train,encl,mu_sum,lp_feasible,lambda_min
6000,0.1,entry,0.1,9,30,True,0.007448213577608287,0.0849544140000944,0.3,1.0,0.06667019718701557,0.24379997428632175,True,0.2734375
6031,0.1,entry,0.1,9,30,True,0.00687216686626076,0.12371783499838784,0.275,1.0,0.04552497172686883,0.16504255009620733,True,0.171875
6062,0.1,entry,0.1,9,30,True,7.829579174895087e-11,0.08054565099882893,0.2,1.0,0.044850143419925145,1.3940915576603704e-08,True,0.16015625
6093,0.1,entry,0.1,9,30,True,0.0014579678365089568,0.08309273399936501,0.3,1.0,0.06107085676523929,4.945820490042823e-07,True,0.25
6124,0.1,entry,0.1,9,30,True,0.009057379699047964,0.07925289999911911,0.3,1.0,0.052741983953273786,0.08598445494672226,True,0.1953125
6155,0.1,entry,0.1,9,30,True,0.007350744808653645,0.08366959100021631,0.425,1.0,0.06284754461679964,0.033502947834750364,True,0.25
6186,0.1,entry,0.1,9,30,True,0.005571814766325458,0.12228857199806953,0.4,1.0,0.05875499294096048,0.7963694540631763,True,0.20703125
6217,0.1,entry,0.1,9,30,True,6.27362624323684e-10,0.08254710499750217,0.4,1.0,0.06938214583887659,3.482998848530703e-07,True,0.234375
6000,0.1,entry,0.25,9,30,True,0.001272520629565531,0.08418247000008705,0.55,1.0,0.0762992175299161,1.2375691295877338,True,0.11328125
6031,0.1,entry,0.25,9,30,True,0.0010318662388792066,0.085510279997834,0.325,1.0,0.06435324156884285,0.9991632598500337,True,0.11328125
6062,0.1,entry,0.25,9,30,True,0.0028058866178631596,0.12257479199979571,0.55,1.0,0.06066675566508235,1.2163612100388286,True,0.08984375
6093,0.1,entry,0.25,9,30,True,0.00903216414516915,0.08338756100056344,0.475,1.0,0.07261776949900957,1.252583038860053,True,0.11328125
6124,0.1,entry,0.25,9,30,True,0.0033453301252849166,0.08587452200299595,0.525,1.0,0.05750165627312578,0.8354114284078046,True,0.140625
6155,0.1,entry,0.25,9,30,True,0.000862775835922129,0.08209299499867484,0.45,1.0,0.0560197359185444,0.9075620242189681,True,0.1015625
6186,0.1,entry,0.25,9,30,True,0.0023697550536060756,0.07926184000098146,0.375,1.0,0.054002792807151076,1.0919854986587798,True,0.0703125
6217,0.1,entry,0.25,9,30,True,0.001955103336556873,0.12926822200097376,0.7,1.0,0.07805615075915051,1.3754417079281618,True,0.0859375
6000,0.1,entry,0.5,9,30,True,0.002839987455493896,0.07993696099947556,0.475,1.0,0.0726147684975965,1.129004019672486,True,0.11328125
6031,0.1,entry,0.5,9,30,True,0.0012632049940076466,0.08144802899914794,0.65,1.0,0.08188984561775314,0.9008135930938758,True,0.09375
6062,0.1,entry,0.5,9,30,True,0.0015604395173150147,0.08081274200230837,0.5,1.0,0.07102983575154756,1.01488446127991,True,0.0625
6093,0.1,entry,0.5,9,30,True,0.006648796882191234,0.12630642200019793,0.425,1.0,0.08093457897670489,1.0014536568730417,True,0.08203125
6124,0.1,entry,0.5,9,30,True,0.00519770188019372,0.07953579199966043,0.525,1.0,0.06793154024987917,0.8247218573753308,True,0.1015625
6155,0.1,entry,0.5,9,30,True,0.006049115210618862,0.08771769300074084,0.475,1.0,0.06577217632757781,1.064821775864412,True,0.14453125
6186,0.1,entry,0.5,9,30,True,0.0007185043969058986,0.08013100999960443,0.45,1.0,0.04661965516020008,0.9439382286069046,True,0.0625
6217,0.1,entry,0.5,9,30,True,0.003978374425606757,0.08904569599690149,0.675,1.0,0.07723296204078094,1.4151903013917417,True,0.09375
6000,0.1,entry,0.75,9,30,True,0.0037454702402311972,0.11969313099689316,0.475,1.0,0.07443643453849826,1.230233455871392,True,0.11328125
