seed,N,alpha,method,needs_w_bound,id_feasible,id_time,coverage_x1,encl_x1,coverage_x2,encl_x2,coverage_train,lp_feasible,lp_time,cl_violation,cl_worst
616,10,1.0,LS,False,True,0.000501827998959925,0.0,0.0,0.0,0.0,0.0,True,0.008685922999575268,0.0,-0.24878250774731547
616,10,1.0,Tube-MPC,False,True,0.015105862001291825,0.0,0.011517453948494766,0.05,0.011517453948494766,1.0,True,0.010443560000567231,0.0,-0.2508552320082351
616,10,1.0,SMI(beta=0.5),True,True,0.21825494900076592,0.925,0.09507660387650708,0.825,0.14752767891599974,1.0,True,0.009532448999379994,0.0,-0.29031610634213456
616,10,1.0,SMI(beta=1),True,True,0.19333716399887635,1.0,0.24326011451952345,1.0,0.3815441408357824,1.0,True,0.00861401600013778,0.0,-0.39129318877695096
616,10,1.0,SMI(beta=2),True,True,0.18481623899970145,1.0,0.5130795646458661,1.0,0.8063863449629661,1.0,True,0.008808196000245516,0.0,-0.5704659043233602
616,10,1.0,DCM,False,True,0.017759045000275364,0.975,0.09600000000402273,0.775,0.09600000000402273,1.0,True,0.008371762998649501,0.0,-0.2727862215752934
616,10,1.0,ICM,False,True,0.04115069399995264,1.0,0.09600000003425428,1.0,0.09600000005836949,1.0,True,0.009387521999087767,0.0,-0.3140571768253154
635,10,1.0,LS,False,True,0.00017467799989390187,0.0,0.0,0.0,0.0,0.0,True,0.008627438999610604,0.0,-0.3338430597162624
635,10,1.0,Tube-MPC,False,True,0.009088836999580963,0.05,0.012694323720491077,0.0,0.012694323720491077,1.0,True,0.008988501000203541,0.0,-0.3373534338866492
635,10,1.0,SMI(beta=0.5),True,True,0.1955234159995598,0.85,0.0675696959865996,0.75,0.09836771067090098,1.0,True,0.008566860000428278,0.0,-0.37178178031516895
635,10,1.0,SMI(beta=1),True,True,0.2014197789994796,1.0,0.19759849709338567,1.0,0.29864413886009267,1.0,True,0.008813690999886603,0.0,-0.4354711004038748
635,10,1.0,SMI(beta=2),True,True,0.19595708999986527,1.0,0.428812229109883,1.0,0.6512318714329277,1.0,True,0.008484586000122363,0.0,-0.4960738557106541
635,10,1.0,DCM,False,True,0.0178876299996773,0.975,0.0960000000147988,0.85,0.0960000000147988,1.0,True,0.00830783200035512,0.0,-0.3623334574862044
635,10,1.0,ICM,False,True,0.040812642000673804,1.0,0.09600000005252807,1.0,0.09600000009170402,1.0,True,0.008618359999672975,0.0,-0.3516773047799442
654,10,1.0,LS,False,True,0.00017172099978779443,0.0,0.0,0.0,0.0,0.0,True,0.010170376999667496,0.0,-0.30163086850506615
654,10,1.0,Tube-MPC,False,True,0.009095896000872017,0.075,0.024517066428371932,0.025,0.024517066428371932,1.0,True,0.00888284899883729,0.0,-0.31243777402947037
654,10,1.0,SMI(beta=0.5),True,False,0.010909087999607436,,,,,,,,,
654,10,1.0,SMI(beta=1),True,True,0.19097392299954663,1.0,0.4284909791217558,1.0,0.6546151314880186,1.0,True,0.008670920000440674,0.0,-0.4933183335440092
654,10,1.0,SMI(beta=2),True,True,0.19070273500074109,1.0,1.0066677353587412,1.0,1.524688156654267,1.0,False,0.017519822000394925,,
654,10,1.0,DCM,False,True,0.018332944999201573,0.825,0.09600000059281469,0.4,0.09600000059281469,1.0,True,0.008650384001157363,0.0,-0.32621544874864394
654,10,1.0,ICM,False,True,0.04114678200130584,1.0,0.09600000022787657,1.0,0.09600000037550727,1.0,True,0.008885311999620171,0.0,-0.31879054659639017
673,10,1.0,LS,False,True,0.00017604500135348644,0.0,0.0,0.0,0.0,0.0,True,0.00885048599957372,0.0,-0.28370943066439824
673,10,1.0,Tube-MPC,False,True,0.009170365001409664,0.075,0.01994438086714834,0.025,0.01994438086714834,1.0,True,0.008452369998849463,0.0,-0.2906150686793071
673,10,1.0,SMI(beta=0.5),True,False,0.07590736699967238,,,,,,,,,
673,10,1.0,SMI(beta=1),True,True,0.19571075499879953,1.0,0.2521040748012975,1.0,0.39323634431110344,1.0,True,0.008640306999950553,0.0,-0.40362705501096463
673,10,1.0,SMI(beta=2),True,True,0.19604161999995995,1.0,0.5839552220027635,1.0,0.9174251917167291,1.0,True,0.008861111000442179,0.0,-0.6525924897722208
673,10,1.0,DCM,False,True,0.02014584599965019,0.825,0.09600000000819697,0.4,0.09600000000819697,1.0,True,0.00883648200033349,0.0,-0.3108242114256057
673,10,1.0,ICM,False,True,0.040643586000442156,1.0,0.09600000006242158,1.0,0.09600000010679434,1.0,True,0.009174105000056443,0.0,-0.3138146886001454
692,10,1.0,LS,False,True,0.0002005280002776999,0.0,0.0,0.0,0.0,0.0,True,0.009065451999049401,0.0,-0.2536970801154975
692,10,1.0,Tube-MPC,False,True,0.010101421001309063,0.05,0.019670572224932174,0.0,0.019670572224932174,1.0,True,0.00954823500069324,0.0,-0.2578638254593223
692,10,1.0,SMI(beta=0.5),True,False,0.07492855199961923,,,,,,,,,
692,10,1.0,SMI(beta=1),True,True,0.20377953499883006,1.0,0.36421436797799533,1.0,0.5765022203857106,1.0,True,0.008771946999331703,0.0,-0.5018172251125628
692,10,1.0,SMI(beta=2),True,True,0.2115229940009158,1.0,0.8396478775441569,1.0,1.3360123485863014,1.0,True,0.009535593000691733,0.0,-0.9308676195745308
692,10,1.0,DCM,False,True,0.01836627700140525,1.0,0.09600000000876988,0.925,0.09600000000876988,1.0,True,0.008388142998228432,0.0,-0.2792975801018238
692,10,1.0,ICM,False,True,0.044049116999303806,1.0,0.09600000052523142,1.0,0.09600000086880464,1.0,True,0.01078649599912751,0.0,-0.2863212002943313
711,10,1.0,LS,False,True,0.0001823980001063319,0.0,0.0,0.0,0.0,0.0,True,0.0088924350002344,0.0,-0.28217633686682164
711,10,1.0,Tube-MPC,False,True,0.009264742000596016,0.15,0.02478968371931875,0.025,0.02478968371931875,1.0,True,0.008750244000111707,0.0,-0.2906492613665338
711,10,1.0,SMI(beta=0.5),True,False,0.010219488000075216,,,,,,,,,
711,10,1.0,SMI(beta=1),True,True,0.1841556210001727,1.0,0.2689401281216063,1.0,0.42424349160024866,1.0,True,0.008539665999705903,0.0,-0.4447856419988231
711,10,1.0,SMI(beta=2),True,True,0.18906741200044053,1.0,0.6474344285093185,1.0,1.0236690618103714,1.0,True,0.008757583000260638,0.0,-0.786014276913291
711,10,1.0,DCM,False,True,0.017512962000182597,0.75,0.09600000005947831,0.4,0.09600000005947831,1.0,True,0.008825061000607093,0.0,-0.31235422904325494
711,10,1.0,ICM,False,True,0.04082105300039984,1.0,0.09600000006042174,1.0,0.0960000001006019,1.0,True,0.00828204299978097,0.0,-0.3116381928195332
730,10,1.0,LS,False,True,0.00018886399993789382,0.0,0.0,0.0,0.0,0.0,True,0.008406902001297567,0.0,-0.2723610933650762
730,10,1.0,Tube-MPC,False,True,0.00942705899979046,0.175,0.017106800092728226,0.05,0.017106800092728226,1.0,True,0.00860035100049572,0.0,-0.27744525365502803
730,10,1.0,SMI(beta=0.5),True,False,0.07302921399968909,,,,,,,,,
730,10,1.0,SMI(beta=1),True,True,0.18987576899962733,1.0,0.2615364505225001,1.0,0.4074639479132869,1.0,True,0.008789341000010609,0.0,-0.41675017403198733
730,10,1.0,SMI(beta=2),True,True,0.1896204509994277,1.0,0.5817924431322481,1.0,0.9029906177638736,1.0,True,0.00834841200048686,0.0,-0.6435121419089962
730,10,1.0,DCM,False,True,0.01849786899947503,1.0,0.09600000001064563,0.975,0.09600000001064563,1.0,True,0.009184489999825018,0.0,-0.3080461078578173
730,10,1.0,ICM,False,True,0.04121517399835284,1.0,0.09600000003554995,1.0,0.09600000005944692,1.0,True,0.00929561900011322,0.0,-0.3663502836170087
749,10,1.0,LS,False,True,0.0001934040010382887,0.0,0.0,0.0,0.0,0.0,True,0.00934666700050002,0.0,-0.27958213834311973
749,10,1.0,Tube-MPC,False,True,0.0095297660009237,0.025,0.020434929016152042,0.0,0.020434929016152042,1.0,True,0.008199870999305858,0.0,-0.28515656283484236
749,10,1.0,SMI(beta=0.5),True,False,0.011067184999774327,,,,,,,,,
749,10,1.0,SMI(beta=1),True,True,0.185847044998809,1.0,0.20489739342098529,1.0,0.3097179691198301,1.0,True,0.00868927800001984,0.0,-0.3768650384284705
749,10,1.0,SMI(beta=2),True,True,0.19880702000045858,1.0,0.4594548122006407,1.0,0.6955504392565243,1.0,True,0.008829059001072892,0.0,-0.522916014245201
749,10,1.0,DCM,False,True,0.01747232600064308,0.8,0.0960000000176342,0.35,0.0960000000176342,1.0,True,0.008423261000643834,0.0,-0.3045862857593634
749,10,1.0,ICM,False,True,0.07686663800086535,1.0,0.0960000017082476,1.0,0.09600000295813751,1.0,True,0.00893360700138146,0.0,-0.28569540127341797
768,10,1.0,LS,False,True,0.00019782600065809675,0.0,0.0,0.0,0.0,0.0,True,0.008720985999389086,0.0,-0.24354147025445783
768,10,1.0,Tube-MPC,False,True,0.010090547000800143,0.075,0.015614216852997714,0.05,0.015614216852997714,1.0,True,0.008525350000127219,0.0,-0.2482299542571218
768,10,1.0,SMI(beta=0.5),True,False,0.14251085199975932,,,,,,,,,
768,10,1.0,SMI(beta=1),True,True,0.18628884899953846,1.0,0.21316897013759134,1.0,0.29634454432222135,1.0,True,0.008281099000669201,0.0,-0.36632763845278027
768,10,1.0,SMI(beta=2),True,True,0.18433786000059627,1.0,0.48419064817407087,1.0,0.6792288219594974,1.0,True,0.008703321000211872,0.0,-0.5761260148278476
768,10,1.0,DCM,False,True,0.018043829000816913,0.975,0.09600000009354706,0.825,0.09600000009354706,1.0,True,0.008844161000524764,0.0,-0.272207284468295
768,10,1.0,ICM,False,True,0.040067981000902364,1.0,0.09600000004302904,1.0,0.09600000007082296,1.0,True,0.008450008999716374,0.0,-0.2670159341265761
787,10,1.0,LS,False,True,0.0001931490005517844,0.0,0.0,0.0,0.0,0.0,True,0.008157152000421775,0.0,-0.3073235510775154
787,10,1.0,Tube-MPC,False,True,0.009656443000494619,0.1,0.016991535805383907,0.025,0.016991535805383907,1.0,True,0.008486652001010953,0.0,-0.3099487119133064
787,10,1.0,SMI(beta=0.5),True,False,0.010722079998231493,,,,,,,,,
787,10,1.0,SMI(beta=1),True,True,0.18798249300016323,1.0,0.25169099567580644,1.0,0.38418909747299435,1.0,True,0.009227067999745486,0.0,-0.39935799618595713
787,10,1.0,SMI(beta=2),True,True,0.18778677000045718,1.0,0.5677958024762679,1.0,0.8722882024017246,1.0,True,0.008355160998689826,0.0,-0.602587928060105
787,10,1.0,DCM,False,True,0.017551379998621996,1.0,0.09600000013143381,0.9,0.09600000013143381,1.0,True,0.008385037999687484,0.0,-0.3220083775655419
787,10,1.0,ICM,False,True,0.04048557299938693,1.0,0.09600000007876466,1.0,0.09600000013613316,1.0,True,0.008823629999824334,0.0,-0.3282752149090503
806,10,1.0,LS,False,True,0.0001757259997248184,0.0,0.0,0.0,0.0,0.0,True,0.009009008999782964,0.0,-0.3746119713033905
806,10,1.0,Tube-MPC,False,True,0.009632645000237972,0.1,0.01867856189500578,0.0,0.01867856189500578,1.0,True,0.008333981999385287,0.0,-0.3792352603627843
806,10,1.0,SMI(beta=0.5),True,False,0.13451124999846797,,,,,,,,,
806,10,1.0,SMI(beta=1),True,True,0.18284374399991066,1.0,0.24197046394491042,1.0,0.39749178477391023,1.0,True,0.008720043000721489,0.0,-0.4792807886378292
806,10,1.0,SMI(beta=2),True,True,0.18291118800152617,1.0,0.5451671795814373,1.0,0.8922831762619812,1.0,True,0.008627977998912684,0.0,-0.6303614387138858
806,10,1.0,DCM,False,True,0.020632675999877392,0.6,0.09600000005219132,0.175,0.09600000005219132,1.0,True,0.008223370001360308,0.0,-0.3647251900073206
806,10,1.0,ICM,False,True,0.041546256999936304,1.0,0.09600000176042303,1.0,0.09600000317200838,1.0,True,0.008479003001411911,0.0,-0.4097090840575178
825,10,1.0,LS,False,True,0.00017644599938648753,0.0,0.0,0.0,0.0,0.0,True,0.009067134000360966,0.0,-0.33221425193252685
825,10,1.0,Tube-MPC,False,True,0.009003922999909264,0.025,0.014596725800050378,0.0,0.014596725800050378,1.0,True,0.008558412999263965,0.0,-0.338877317320728
825,10,1.0,SMI(beta=0.5),True,False,0.1983352000006562,,,,,,,,,
825,10,1.0,SMI(beta=1),True,True,0.2137876540000434,1.0,0.2237770274854017,1.0,0.33205632039048616,1.0,True,0.008565404999899329,0.0,-0.43280125743608044
825,10,1.0,SMI(beta=2),True,True,0.18453349199990043,1.0,0.4850325478882067,1.0,0.725550523942317,1.0,True,0.009082172000489663,0.0,-0.6035284271721542
825,10,1.0,DCM,False,True,0.018179181999585126,0.875,0.09600000004515571,0.625,0.09600000004515571,1.0,True,0.00930213700121385,0.0,-0.3756345885762198
825,10,1.0,ICM,False,True,0.04480172999865317,1.0,0.0960000000913667,1.0,0.09600000015055281,1.0,True,0.00906954099991708,0.0,-0.3349387445496782
844,10,1.0,LS,False,True,0.00018161899970436934,0.0,0.0,0.0,0.0,0.0,True,0.008614131000285852,0.0,-0.23187063818005105
844,10,1.0,Tube-MPC,False,True,0.009190277000016067,0.025,0.018326556326415548,0.025,0.018326556326415548,1.0,True,0.008512346999850706,0.0,-0.23616040290747353
844,10,1.0,SMI(beta=0.5),True,False,0.07367952700042224,,,,,,,,,
844,10,1.0,SMI(beta=1),True,True,0.1930339400005323,1.0,0.23169241034067087,1.0,0.3618914422081274,1.0,True,0.00885183599893935,0.0,-0.3643547633860653
844,10,1.0,SMI(beta=2),True,True,0.18687533699994674,1.0,0.5191656421255146,1.0,0.816141684975394,1.0,True,0.008413297999140923,0.0,-0.5833919544738744
844,10,1.0,DCM,False,True,0.017550223999933223,0.85,0.0960000000409825,0.65,0.0960000000409825,1.0,True,0.00825760399857245,0.0,-0.2568967607519692
844,10,1.0,ICM,False,True,0.039961956001207,1.0,0.09600000005112894,1.0,0.09600000008549621,1.0,True,0.009054779999132734,0.0,-0.2757068988666763
863,10,1.0,LS,False,True,0.00017755399858288,0.0,0.0,0.0,0.0,0.0,True,0.008147321999786072,0.0,-0.343399825127757
863,10,1.0,Tube-MPC,False,True,0.009404991000337759,0.0,0.012315008754177924,0.0,0.012315008754177924,1.0,True,0.008286526999654598,0.0,-0.3400118285948335
863,10,1.0,SMI(beta=0.5),True,True,0.18457122400104709,0.95,0.07001100738194632,0.875,0.10383967716133244,1.0,True,0.010150690000955365,0.0,-0.3469550278380127
863,10,1.0,SMI(beta=1),True,True,0.18694020200018713,1.0,0.19213581495643356,1.0,0.29091964718785984,1.0,True,0.008517070999005227,0.0,-0.39717699180209576
863,10,1.0,SMI(beta=2),True,True,0.18650864499977615,1.0,0.4028037507329243,1.0,0.6125504930364315,1.0,True,0.008611933000793215,0.0,-0.4929168039319842
863,10,1.0,DCM,False,True,0.02023862400164944,1.0,0.09599999999251246,0.95,0.09599999999251246,1.0,True,0.008817410000119708,0.0,-0.35599280181685733
863,10,1.0,ICM,False,True,0.03990531999988889,1.0,0.09600000156859254,1.0,0.09600000277734574,1.0,True,0.008660321998831932,0.0,-0.3572346967486645
882,10,1.0,LS,False,True,0.0002141679997293977,0.0,0.0,0.0,0.0,0.0,True,0.04484545000013895,0.0,-0.27065825156330847
882,10,1.0,Tube-MPC,False,True,0.010823493999851053,0.025,0.014985670101756374,0.025,0.014985670101756374,1.0,True,0.008960207998825354,0.0,-0.2741014752990344
882,10,1.0,SMI(beta=0.5),True,False,0.0744003599993448,,,,,,,,,
882,10,1.0,SMI(beta=1),True,True,0.19600112999978592,1.0,0.21365267709709687,1.0,0.3171859915390943,1.0,True,0.008361484000488417,0.0,-0.3824397313088802
882,10,1.0,SMI(beta=2),True,True,0.19383509900035278,1.0,0.44789106709400184,1.0,0.6607330663491422,1.0,True,0.00827516299978015,0.0,-0.5505515363318997
882,10,1.0,DCM,False,True,0.018274899000971345,1.0,0.09600000017325593,0.875,0.09600000017325593,1.0,True,0.008406386999922688,0.0,-0.29453788146157645
882,10,1.0,ICM,False,True,0.04116820099989127,1.0,0.09600000075773765,1.0,0.09600000124830511,1.0,True,0.00859348000085447,0.0,-0.3420722613174132
636,30,1.0,LS,False,True,0.0004126250005356269,0.0,0.0,0.0,0.0,0.0,True,0.009177389001706615,0.0,-0.3307141161425612
636,30,1.0,Tube-MPC,False,True,0.017957273999854806,0.675,0.029678673728852002,0.425,0.029678673728852002,1.0,True,0.0085854550015938,0.0,-0.3412012463845818
636,30,1.0,SMI(beta=0.5),True,False,0.017422262999389204,,,,,,,,,
636,30,1.0,SMI(beta=1),True,True,0.21303007599999546,1.0,0.08292107336026411,1.0,0.11705188387945735,1.0,True,0.011799080999480793,0.0,-0.3520894052599908
636,30,1.0,SMI(beta=2),True,True,0.20929107399933855,1.0,0.2587451395465862,1.0,0.37832217357856884,1.0,True,0.008646020000014687,0.0,-0.421065361080326
636,30,1.0,DCM,False,True,0.04049648899854219,1.0,0.09600000034636656,0.875,0.09600000034636656,1.0,True,0.008225734000006923,0.0,-0.3724611823352142
636,30,1.0,ICM,False,True,0.08447922000050312,1.0,0.0960000001740933,1.0,0.09600000031004646,1.0,True,0.008895353999832878,0.0,-0.35901755245225075
655,30,1.0,LS,False,True,0.0002191580006183358,0.0,0.0,0.0,0.0,0.0,True,0.0084819650001009,0.0,-0.2841746548152725
655,30,1.0,Tube-MPC,False,True,0.01086288500118826,0.65,0.030291011398791055,0.45,0.030291011398791055,1.0,True,0.009416713999598869,0.0,-0.2937481856533928
655,30,1.0,SMI(beta=0.5),True,False,0.013241873999504605,,,,,,,,,
655,30,1.0,SMI(beta=1),True,True,0.21270916700086673,1.0,0.08853701995678012,1.0,0.12274596001411604,1.0,True,0.00840028999846254,0.0,-0.34037303109105754
655,30,1.0,SMI(beta=2),True,True,0.2157099099986226,1.0,0.27710577502946865,1.0,0.40245927499465717,1.0,True,0.008180208000339917,0.0,-0.41288421775479356
655,30,1.0,DCM,False,True,0.0355832149998605,1.0,0.09600000006333181,1.0,0.09600000006333181,1.0,True,0.008650542000395944,0.0,-0.3111940749908939
655,30,1.0,ICM,False,True,0.07477464499970665,1.0,0.09600000029092268,1.0,0.09600000049470385,1.0,True,0.008236746998591116,0.0,-0.33998495068109025
674,30,1.0,LS,False,True,0.00018880999959947076,0.0,0.0,0.0,0.0,0.0,True,0.009095235000131652,0.0,-0.2977606308342662
674,30,1.0,Tube-MPC,False,True,0.010929190000751987,0.5,0.028177052735501983,0.275,0.028177052735501983,1.0,True,0.008393059000809444,0.0,-0.30098251952857713
674,30,1.0,SMI(beta=0.5),True,False,0.012329436998697929,,,,,,,,,
674,30,1.0,SMI(beta=1),True,True,0.20781492899914156,1.0,0.09791096784189439,1.0,0.13990087798648615,1.0,True,0.00840845400125545,0.0,-0.3613746782866514
674,30,1.0,SMI(beta=2),True,True,0.218099452999013,1.0,0.3069216092927902,1.0,0.4589878064082658,1.0,True,0.008451773999695433,0.0,-0.43178212753295564
674,30,1.0,DCM,False,True,0.04217677100132278,1.0,0.09600000030076389,1.0,0.09600000030076389,1.0,True,0.008247930998550146,0.0,-0.3204904413002232
674,30,1.0,ICM,False,True,0.07759027300016896,1.0,0.09600000033185006,1.0,0.09600000057772587,1.0,True,0.008810713999992004,0.0,-0.3271276161879232
693,30,1.0,LS,False,True,0.00018948599972645752,0.0,0.0,0.0,0.0,0.0,True,0.00902155100084201,0.0,-0.2647252732678359
693,30,1.0,Tube-MPC,False,True,0.010788018998937332,0.525,0.02863978134340388,0.425,0.02863978134340388,1.0,True,0.008900711998649058,0.0,-0.2719275155675607
693,30,1.0,SMI(beta=0.5),True,False,0.013464738998663961,,,,,,,,,
693,30,1.0,SMI(beta=1),True,True,0.20734871499917062,1.0,0.08683346724343402,1.0,0.12120530052501954,1.0,True,0.010344075999455526,0.0,-0.29928618550512043
693,30,1.0,SMI(beta=2),True,True,0.20439627999985532,1.0,0.27320954641968354,1.0,0.40327155558294764,1.0,True,0.008271713999420172,0.0,-0.3887547973148787
693,30,1.0,DCM,False,True,0.07599430200025381,1.0,0.09600000028036627,1.0,0.09600000028036627,1.0,True,0.008271582999441307,0.0,-0.2883418807778565
693,30,1.0,ICM,False,True,0.07761568699970667,1.0,0.09600000015874058,1.0,0.0960000002764635,1.0,True,0.00866667199989024,0.0,-0.29674638232216455
712,30,1.0,LS,False,True,0.00020269899869163055,0.0,0.0,0.0,0.0,0.0,True,0.008195397000235971,0.0,-0.30860755817188146
712,30,1.0,Tube-MPC,False,True,0.011089902000094298,0.25,0.027909423060310044,0.05,0.027909423060310044,1.0,True,0.008680292999997619,0.0,-0.30461737578303993
712,30,1.0,SMI(beta=0.5),True,False,0.012009128000499913,,,,,,,,,
