seed,alpha,N,method,id_feasible,sX,id_time,n_var,coverage_train,coverage_x1,encl_x1,coverage_x2,encl_x2,coverage_x3,encl_x3,src_state,src_input,src_additive,repr_gap,center_err,muA_mass,muB_mass,muw_mass,lambda_min,gamma
1070,1.0,10,DCM,True,0.00953722342376325,0.020496348000051512,55,1.0,0.0,0.01152573899500015,0.0,0.01152573899500015,0.0,0.01152573899500015,0.0,0.0,0.01152573899500015,14.936484978536143,0.020938772853187848,0.0,0.0,1.1525738995000152,0.01171875,1.0
1070,1.0,10,ICM-noSI,True,0.0023160045809120272,0.0312999210000271,253,1.0,0.025,0.01529633022996298,0.0,0.02438471259546472,0.0,0.03347309496096647,0.009088382365501742,0.00020794786452063246,0.005999999999940605,18.498538251880756,0.021450978795832742,0.09745683150408631,0.0057283795665480355,0.5999999999940605,0.0078125,1.0
1070,1.0,10,ICM,True,0.0023160044421888923,0.05349582799999553,433,1.0,0.025,0.018369213501585265,0.075,0.029984991434198353,0.075,0.04160076936681144,0.011615777932613088,0.0007534355702150322,0.005999999998757144,11.653570998708084,0.012598189955684028,0.12165961911652148,0.020755045382914904,0.5999999998757144,0.01171875,1.0
1087,1.0,10,DCM,True,0.013147818679558852,0.016946511000014652,55,1.0,0.025,0.013967491693644463,0.025,0.013967491693644463,0.0,0.013967491693644463,0.0,0.0,0.013967491693644463,7.632595052210987,0.022140955181873794,0.0,0.0,1.3967491693644463,0.0078125,1.0
1087,1.0,10,ICM-noSI,True,0.006161956775522752,0.03447443499999281,253,1.0,0.05,0.016153639751231123,0.05,0.023129485647011568,0.05,0.03010533154279201,0.006975845895780442,0.003177793855532363,0.005999999999918322,10.855379091356689,0.01187767819834884,0.15530182928349548,0.08316049602457953,0.5999999999918322,0.01953125,1.0
1087,1.0,10,ICM,True,0.005053425100645455,0.04187566399991738,433,1.0,0.275,0.022706815204610285,0.375,0.03641321727539048,0.325,0.050119619346170666,0.013706402070780194,0.003000413134048986,0.005999999999781106,5.702026414278045,0.010661441231321622,0.2779448664701044,0.07845224618098008,0.5999999999781106,0.0234375,1.0
1104,1.0,10,DCM,True,0.020720022513095522,0.018355896999992183,55,1.0,0.025,0.015062629851389269,0.0,0.015062629851389269,0.0,0.015062629851389269,0.0,0.0,0.015062629851389269,11.611410897258692,0.025374919460950815,0.0,0.0,1.5062629851389269,0.02734375,1.0
1104,1.0,10,ICM-noSI,True,0.003018868275027549,0.03369073599992589,253,1.0,0.025,0.017897657756197533,0.075,0.024072903013115144,0.025,0.030248148270032756,0.006175245256917608,0.005722412499553661,0.005999999999726266,9.473823487582877,0.013195374691914424,0.11272756979903123,0.1627340774023161,0.5999999999726267,0.0234375,1.0
1104,1.0,10,ICM,True,0.003018868250982621,0.04507950500010338,433,1.0,0.125,0.02180614680630418,0.1,0.028987179935199246,0.1,0.03616821306409432,0.007181033128895065,0.008625113677604527,0.005999999999804592,8.32220504038017,0.011732863384999015,0.13108797999058308,0.24635213336060513,0.599999999980459,0.03125,1.0
1121,1.0,10,DCM,True,0.013471819033727746,0.018205625000064174,55,1.0,0.0,0.011745200088347191,0.0,0.011745200088347191,0.0,0.011745200088347191,0.0,0.0,0.011745200088347191,9.26546815228746,0.014175734465064843,0.0,0.0,1.174520008834719,0.01171875,1.0
