$s_A$,ID feas.,$s_\mathcal{X}$,Coverage,Encl.,$t_{\rm id}$ (s)
1,87.5,0.016921469903204717,36.78571428571429,0.10304482288136434,0.081512829123767
3,100.0,0.0050782529303157724,44.375,0.14582970331188416,0.08069855462372288
6,100.0,0.002819284194403151,55.00000000000001,0.11988353830595189,0.08994311849983205
9,100.0,0.0024826217343870533,57.1875,0.11280896942409016,0.09672436675009521
