method,time,n_var,feasible,n,m,N,s_A,gen_mode,seed,n_con
ICM,1.9719799249978678,10723,True,3,3,500,9,entry,12,12209.0
LS,0.0002982010009873193,18,True,3,3,500,9,entry,13,
Tube-MPC,0.05614377999881981,1522,True,3,3,500,9,entry,13,
DCM,1.3629229750004015,1525,False,3,3,500,9,entry,13,3009.0
ICM,2.4832559389978996,10723,True,3,3,500,9,entry,13,12209.0
LS,0.00018431200078339316,6,True,2,1,50,4,entry,101,
Tube-MPC,0.013925467999797547,109,True,2,1,50,4,entry,101,
DCM,0.15988247999848682,111,False,2,1,50,4,entry,101,206.0
ICM,0.16908541399971,443,True,2,1,50,4,entry,101,540.0
SMI,0.07290080799793941,12,True,2,1,50,4,entry,101,
LS,0.00015973900008248165,6,True,2,1,50,4,entry,102,
Tube-MPC,0.011162003000208642,109,True,2,1,50,4,entry,102,
DCM,0.14134381500116433,111,False,2,1,50,4,entry,102,206.0
ICM,0.17368439999700058,443,True,2,1,50,4,entry,102,540.0
SMI,0.14311495799847762,12,True,2,1,50,4,entry,102,
LS,0.00035223500162828714,6,True,2,1,50,4,entry,103,
Tube-MPC,0.019416781000472838,109,True,2,1,50,4,entry,103,
DCM,0.22581646999969962,111,False,2,1,50,4,entry,103,206.0
ICM,0.33000820000233944,443,True,2,1,50,4,entry,103,540.0
SMI,0.2033107339993876,12,True,2,1,50,4,entry,103,
LS,0.00038523100010934286,24,True,4,2,50,16,entry,101,
Tube-MPC,0.035099492997687776,229,True,4,2,50,16,entry,101,
DCM,0.2640330489994085,233,False,4,2,50,16,entry,101,412.0
ICM,0.31768302799900994,1801,True,4,2,50,16,entry,101,1982.0
SMI,0.5654712819996348,48,True,4,2,50,16,entry,101,
LS,0.0003438820021983702,24,True,4,2,50,16,entry,102,
Tube-MPC,0.026251646002492635,229,True,4,2,50,16,entry,102,
DCM,0.2053152330008743,233,False,4,2,50,16,entry,102,412.0
ICM,0.35348575100215385,1801,True,4,2,50,16,entry,102,1982.0
SMI,0.5441670899999735,48,True,4,2,50,16,entry,102,
LS,0.00027573700208449736,24,True,4,2,50,16,entry,103,
Tube-MPC,0.023815890999685507,229,True,4,2,50,16,entry,103,
DCM,0.178536848998192,233,False,4,2,50,16,entry,103,412.0
ICM,0.2816990520004765,1801,True,4,2,50,16,entry,103,1982.0
SMI,0.6463946160001797,48,True,4,2,50,16,entry,103,
LS,0.00024465800015605055,54,True,6,3,50,36,entry,101,
Tube-MPC,0.021211101000517374,361,True,6,3,50,36,entry,101,
DCM,0.17123844399975496,367,False,6,3,50,36,entry,101,618.0
ICM,0.4068982930002676,4795,True,6,3,50,36,entry,101,5048.0
SMI,1.5677673299978778,108,True,6,3,50,36,entry,101,
LS,0.00038551400211872533,54,True,6,3,50,36,entry,102,
Tube-MPC,0.028035819999786327,361,True,6,3,50,36,entry,102,
DCM,0.18522645299890428,367,False,6,3,50,36,entry,102,618.0
ICM,0.544582091999473,4795,True,6,3,50,36,entry,102,5048.0
SMI,1.249581682997814,108,True,6,3,50,36,entry,102,
LS,0.0004686499996751081,54,True,6,3,50,36,entry,103,
Tube-MPC,0.04075119499975699,361,True,6,3,50,36,entry,103,
DCM,0.27817828899787855,367,False,6,3,50,36,entry,103,618.0
ICM,0.7435159679989738,4795,True,6,3,50,36,entry,103,5048.0
SMI,1.619661097000062,108,True,6,3,50,36,entry,103,
LS,0.00046578199908253737,96,True,8,4,50,64,entry,101,
Tube-MPC,0.044053609999537,505,True,8,4,50,64,entry,101,
DCM,0.3441257900012715,513,False,8,4,50,64,entry,101,824.0
ICM,1.3197640129983483,10625,True,8,4,50,64,entry,101,10938.0
LS,0.0005377989982662257,96,True,8,4,50,64,entry,102,
Tube-MPC,0.0483025749999797,505,True,8,4,50,64,entry,102,
DCM,0.3006854919985926,513,False,8,4,50,64,entry,102,824.0
ICM,1.2902943510016485,10625,True,8,4,50,64,entry,102,10938.0
LS,0.00031158500132733025,96,True,8,4,50,64,entry,103,
Tube-MPC,0.02768957400257932,505,True,8,4,50,64,entry,103,
DCM,0.13964871100324672,513,False,8,4,50,64,entry,103,824.0
ICM,0.7857112230012717,10625,True,8,4,50,64,entry,103,10938.0
LS,0.00033128299764939584,150,True,10,5,50,100,entry,101,
Tube-MPC,0.033955975999560906,661,True,10,5,50,100,entry,101,
DCM,0.2204441269968811,671,False,10,5,50,100,entry,101,1030.0
ICM,2.264230812997994,20971,True,10,5,50,100,entry,101,21332.0
LS,0.0003093619998253416,150,True,10,5,50,100,entry,102,
Tube-MPC,0.026865240000915946,661,True,10,5,50,100,entry,102,
DCM,0.2770392379970872,671,False,10,5,50,100,entry,102,1030.0
ICM,2.2670459960027074,20971,True,10,5,50,100,entry,102,21332.0
LS,0.0005986590003885794,150,True,10,5,50,100,entry,103,
Tube-MPC,0.045979683000041405,661,True,10,5,50,100,entry,103,
DCM,0.16144264899776317,671,False,10,5,50,100,entry,103,1030.0
ICM,1.7896284039998136,20971,True,10,5,50,100,entry,103,21332.0
LS,0.00020925799981341697,24,True,4,2,50,4,row,303,
Tube-MPC,0.01643399300155579,229,True,4,2,50,4,row,303,
DCM,0.10529280999980983,233,False,4,2,50,4,row,303,412.0
ICM,0.7562138180001057,761,False,4,2,50,4,row,303,942.0
LS,0.0001940789989021141,24,True,4,2,50,4,row,304,
Tube-MPC,0.014394539000932127,229,True,4,2,50,4,row,304,
DCM,0.10194927100019413,233,False,4,2,50,4,row,304,412.0
ICM,0.232743707998452,761,False,4,2,50,4,row,304,942.0
LS,0.00019773900203290395,24,True,4,2,50,4,row,305,
Tube-MPC,0.015157452002313221,229,True,4,2,50,4,row,305,
DCM,0.104937650001375,233,False,4,2,50,4,row,305,412.0
ICM,0.2448064220006927,761,False,4,2,50,4,row,305,942.0
LS,0.00018117600120604038,24,True,4,2,50,16,entry,303,
Tube-MPC,0.01581511699987459,229,True,4,2,50,16,entry,303,
DCM,0.12649419200170087,233,False,4,2,50,16,entry,303,412.0
ICM,0.14834829800020088,1801,True,4,2,50,16,entry,303,1982.0
LS,0.0001615389992366545,24,True,4,2,50,16,entry,304,
Tube-MPC,0.013316590997419553,229,True,4,2,50,16,entry,304,
DCM,0.10590548599793692,233,False,4,2,50,16,entry,304,412.0
ICM,0.20688886599964462,1801,True,4,2,50,16,entry,304,1982.0
LS,0.0001739430008456111,24,True,4,2,50,16,entry,305,
Tube-MPC,0.014483934002782917,229,True,4,2,50,16,entry,305,
DCM,0.12164595200010808,233,False,4,2,50,16,entry,305,412.0
ICM,0.16103007399942726,1801,True,4,2,50,16,entry,305,1982.0
