Method,ID feas.,$n_{\rm common}$,$\lambda^\star$,$s_\mathcal{X}$,Cov. train,Cov. $1\times$,Cov. $2\times$,Cov. $3\times$,Encl. size,Repr. gap,$\|C^A - A^L_{\rm tr}\|_\infty$,$t_{\rm id}$ (s),LP feas.,CL viol.
DCM [22],62.74999999999999,251,0.027592753984063745,0.027287130221998343,100.0,32.3375,21.6875,13.925,0.06497199998022672,3.9622198475205908,0.03993341360323871,0.030288667700033328,100.0,0.0
ICM w/o side info.,100.0,251,0.03114106075697211,0.02619898296829965,100.0,32.425,21.825,14.2375,0.06508112461232135,4.130295235681832,0.039637158741108125,0.055641481029970234,100.0,0.0
ICM (proposed),96.0,251,0.035545318725099605,0.029850317593754113,100.0,48.925,41.8875,34.9375,0.07289423218894076,1.5477456366608036,0.018218633053854377,0.07189046727509776,100.0,0.0
